cmc_id,cmc_symbol,cmc_slug,binance_futures_status,binance_spot_status,cmc_price_usd,cmc_price_timestamp
1,BTC,bitcoin,ambiguous,ambiguous,64712.3764913657,2026-07-15T00:00:00
328,XMR,monero,,stale,329.8940659142,2026-07-15T00:00:00
463,BTS,bitshares,,stale,0.00107192677138,2026-07-15T00:00:00
541,SYS,syscoin,,stale,0.00269624131972,2026-07-15T00:00:00
873,XEM,nem,,stale,0.00049319292893,2026-07-15T00:00:00
1027,ETH,ethereum,ambiguous,ambiguous,1916.9437417236,2026-07-15T00:00:00
1104,REP,augur,,stale,0.8770377739,2026-07-15T00:00:00
1191,MEME,memetic,ambiguous,ambiguous,0.00054008507345,2026-07-15T00:00:00
1274,WAVES,waves,,stale,0.2549537341,2026-07-15T00:00:00
1297,CHESS,chesscoin,,stale,0.0414326704,2026-07-15T00:00:00
1320,ARDR,ardor,,stale,0.0210708398,2026-07-15T00:00:00
1343,STRAX,stratis,,ambiguous,0.00957373620836,2026-07-15T00:00:00
1414,FIRO,firo,,stale,0.6435091241,2026-07-15T00:00:00
1518,MKR,maker,,stale,1506.0552241041,2026-07-15T00:00:00
1521,KMD,komodo,,stale,0.00919244402899,2026-07-15T00:00:00
1552,MLN,enzyme,,stale,1.3350594232,2026-07-15T00:00:00
1567,XNO,nano,,stale,0.328983576,2026-07-15T00:00:00
1680,ANT,aragon,,stale,0.1143434907,2026-07-15T00:00:00
1757,FUN,funtoken,,stale,0.00355545164415,2026-07-15T00:00:00
1759,SNT,status,,stale,0.00722026413748,2026-07-15T00:00:00
1765,EOS,eos,,stale,0.0756038416,2026-07-15T00:00:00
1808,OMG,omg,,stale,0.0454463833,2026-07-15T00:00:00
1817,VGX,vgx-token,,stale,0.00010892300686,2026-07-15T00:00:00
1856,DNT,district0x,,stale,0.00509995371134,2026-07-15T00:00:00
1886,DENT,dent,,stale,2.991504328e-05,2026-07-15T00:00:00
1934,LRC,loopring,,stale,0.0106506939,2026-07-15T00:00:00
2058,AST,airswap,,stale,0.0044,2026-07-15T00:00:00
2062,AION,aion,,stale,0.0001838891955,2026-07-15T00:00:00
2081,AMB,airdao,,stale,0.00747549555625,2026-07-15T00:00:00
2083,BTG,bitcoin-gold,,stale,0.3582784017,2026-07-15T00:00:00
2092,NULS,nuls,,stale,0.00359745710738,2026-07-15T00:00:00
2143,DATA,streamr,,stale,0.00014596044182,2026-07-15T00:00:00
2289,GFT,gifto,,stale,2.951837202e-05,2026-07-15T00:00:00
2297,STMX,stormx,,stale,3.680104423e-05,2026-07-15T00:00:00
2299,ELF,aelf,,stale,0.0620594689,2026-07-15T00:00:00
2320,UTK,utrust,,stale,0.00794438444546,2026-07-15T00:00:00
2348,MDT,measurable-data-token,,stale,0.00363946311238,2026-07-15T00:00:00
2398,KEY,selfkey,,stale,7.164659955e-05,2026-07-15T00:00:00
2424,AGIX,singularitynet,,stale,0.0697039608,2026-07-15T00:00:00
2430,HOT,hydro-protocol,ambiguous,ambiguous,0.00035843781989,2026-07-15T00:00:00
2496,POLY,polymath-network,,stale,0.0124849962,2026-07-15T00:00:00
2505,BLZ,bluzelle,,stale,0.00711142837039,2026-07-15T00:00:00
2539,REN,ren,,stale,0.00338353339304,2026-07-15T00:00:00
2588,LOOM,loom-network,,stale,0.00522475795865,2026-07-15T00:00:00
2606,WAN,wanchain,,stale,0.053353012,2026-07-15T00:00:00
2608,MITH,mithril,,stale,0.0002417940608,2026-07-15T00:00:00
2682,HOT,holo,ambiguous,ambiguous,0.00035895184878,2026-07-15T00:00:00
2780,NKN,nkn,,stale,0.00502623665254,2026-07-15T00:00:00
2896,MFT,mainframe,,stale,0.00021374187718,2026-07-15T00:00:00
2994,BIFI,bitcoin-file,,stale,0.00058123536927,2026-07-15T00:00:00
3330,USDP,paxos-standard,,stale,0.9996117309,2026-07-15T00:00:00
3637,AERGO,aergo,,stale,0.0228692691,2026-07-15T00:00:00
3702,BEAM,beam,,stale,0.00851283683146,2026-07-15T00:00:00
3874,IRIS,irisnet,,stale,0.00043446318602,2026-07-15T00:00:00
3893,NOW,now-token,stale,,0.3725504952,2026-07-15T00:00:00
3911,OCEAN,ocean-protocol,,stale,0.1103340191,2026-07-15T00:00:00
3928,IDEX,idex,,stale,0.00111782108849,2026-07-15T00:00:00
4036,COS,contentos,,stale,0.00028078381206,2026-07-15T00:00:00
4118,FOR,the-force-protocol,,stale,6.110735736e-05,2026-07-15T00:00:00
4256,KLAY,klaytn,,stale,0.0340044553,2026-07-15T00:00:00
4279,SXP,sxp,,stale,0.00019985742947,2026-07-15T00:00:00
4293,PERL,perlin,,stale,9.830089692e-05,2026-07-15T00:00:00
4687,BUSD,binance-usd,,stale,1.0003469273,2026-07-15T00:00:00
4758,DF,dforce,,stale,0.0187746642,2026-07-15T00:00:00
5007,TROY,troy,,stale,2.51756633e-06,2026-07-15T00:00:00
5026,OXT,orchid,,stale,0.00371006544313,2026-07-15T00:00:00
5066,MON,moneybyte,ambiguous,,0.0223283724,2026-07-15T00:00:00
5161,WRX,wazirx,,stale,0.0189026269,2026-07-15T00:00:00
5228,GAL,galatasaray-fan-token,,stale,0.954280667,2026-07-15T00:00:00
5426,SOL,solana,ambiguous,ambiguous,77.2640646027,2026-07-15T00:00:00
5631,ORN,orion-xyz,,stale,0.0295651952,2026-07-15T00:00:00
5647,KDA,kadena,,stale,0.005579929795,2026-07-15T00:00:00
5665,HNT,helium,,stale,0.20960376,2026-07-15T00:00:00
5728,BAL,balancer,,stale,0.096406891,2026-07-15T00:00:00
5794,PNT,pnetwork,,stale,0.00087655238107,2026-07-15T00:00:00
5865,FIO,fio-protocol,,stale,0.00093259198307,2026-07-15T00:00:00
5882,FIS,stafi,,stale,0.00571330844944,2026-07-15T00:00:00
5893,FRONT,frontier,,stale,0.0128130959,2026-07-15T00:00:00
