id,symbol,type,internal_id,denominator,margin,contract_type,contract_size,first_capture,end_date
aaoiusdt,AAOI,perpetual,perpetual-AAOI-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-08T00:00:00.000Z,
aaplusdt,AAPL,perpetual,perpetual-AAPL-USDT:USDT,USDT,USDT,perpetual,1.0,2026-04-06T00:00:00.000Z,
adbeusdt,ADBE,perpetual,perpetual-ADBE-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-11T00:00:00.000Z,
alabusdt,ALAB,perpetual,perpetual-ALAB-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-22T00:00:00.000Z,
amatusdt,AMAT,perpetual,perpetual-AMAT-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-08T00:00:00.000Z,
amdusdt,AMD,perpetual,perpetual-AMD-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-06T00:00:00.000Z,
amznusdt,AMZN,perpetual,perpetual-AMZN-USDT:USDT,USDT,USDT,perpetual,1.0,2026-02-09T00:00:00.000Z,
anthropicusdt,ANTHROPIC,perpetual,perpetual-ANTHROPIC-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-02T00:00:00.000Z,
appusdt,APP,perpetual,perpetual-APP-USDT:USDT,USDT,USDT,perpetual,,2026-07-10T00:00:00.000Z,
arcusdt,ARC,perpetual,perpetual-ARC-USDT:USDT,USDT,USDT,perpetual,1.0,2025-01-17T00:00:00.000Z,
armusdt,ARM,perpetual,perpetual-ARM-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-26T00:00:00.000Z,
asmlusdt,ASML,perpetual,perpetual-ASML-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-11T00:00:00.000Z,
astsusdt,ASTS,perpetual,perpetual-ASTS-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-01T00:00:00.000Z,
avgousdt,AVGO,perpetual,perpetual-AVGO-USDT:USDT,USDT,USDT,perpetual,1.0,2026-04-20T00:00:00.000Z,
axtiusdt,AXTI,perpetual,perpetual-AXTI-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-08T00:00:00.000Z,
babausdt,BABA,perpetual,perpetual-BABA-USDT:USDT,USDT,USDT,perpetual,1.0,2026-04-20T00:00:00.000Z,
bbxusdt,BBX,perpetual,perpetual-BBX-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-01T00:00:00.000Z,
beusdt,BE,perpetual,perpetual-BE-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-26T00:00:00.000Z,
bluebirdusdt,BLUEBIRD,perpetual,perpetual-BLUEBIRD-USDT:USDT,USDT,USDT,perpetual,,2022-11-02T00:00:00.000Z,2024-03-27T00:00:00.000Z
bmnrusdt,BMNR,perpetual,perpetual-BMNR-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-11T00:00:00.000Z,
bncusdt,BNC,perpetual,perpetual-BNC-USDT:USDT,USDT,USDT,perpetual,,2026-07-09T00:00:00.000Z,
bobusdt,BOB,perpetual,perpetual-BOB-USDT:USDT,USDT,USDT,perpetual,,2025-11-21T00:00:00.000Z,2026-04-29T00:00:00.000Z
botusdt,BOT,perpetual,perpetual-BOT-USDT:USDT,USDT,USDT,perpetual,,2026-07-09T00:00:00.000Z,
brkbusdt,BRKB,perpetual,perpetual-BRKB-USDT:USDT,USDT,USDT,perpetual,1.0,2026-05-18T00:00:00.000Z,
broccolif3busdt,BROCCOLIF3B,perpetual,perpetual-BROCCOLIF3B-USDT:USDT,USDT,USDT,perpetual,1.0,2025-03-21T00:00:00.000Z,
bspusdt,BSP,perpetual,perpetual-BSP-USDT:USDT,USDT,USDT,perpetual,,2026-07-02T00:00:00.000Z,
btcbusd_210129,BTCB,future,future-BTCB-USD:BTCB-20210129,USD,BTCB,future,,2021-01-05T00:00:00.000Z,2021-01-12T00:00:00.000Z
btcbusd_210226,BTCB,future,future-BTCB-USD:BTCB-20210226,USD,BTCB,future,,2021-01-05T00:00:00.000Z,2021-01-12T00:00:00.000Z
bxusdt,BX,perpetual,perpetual-BX-USDT:USDT,USDT,USDT,perpetual,1.0,2026-06-08T00:00:00.000Z,
