symbol,delisted_date,available_since,last_price,data_from_month,trading_days
nfpusdt,2026-07-03,2023-12-27,0.01057,2026-05,0.0
ipusdt,2026-06-29,2025-02-13,0.4335,2026-05,0.0
ipusdc,2026-06-29,2025-03-05,0.4328,2026-05,0.0
ethusdt_260626,2026-06-27,2025-12-26,2011.11,2026-05,0.0
btcusdt_260626,2026-06-27,2025-12-26,73793.5,2026-05,0.0
tonusdt,2026-06-24,2024-03-01,1.8936,2026-05,0.0
cosusdt,2026-06-12,2024-09-30,0.00119,2026-05,0.0
highusdt,2026-06-12,2023-02-07,0.1294,2026-05,0.0
dusdt,2026-06-12,2025-01-09,0.011593,2026-05,0.0
mboxusdt,2026-06-12,2024-08-28,0.01323,2026-05,0.0
mlnusdt,2026-05-20,2025-03-31,2.993,2026-04,0.0
atausdt,2026-05-20,2021-08-31,0.00955,2026-04,0.0
phbusdt,2026-05-20,2023-02-16,0.1077,2026-04,0.0
sysusdt,2026-05-20,2024-08-19,0.00858,2026-04,0.0
damusdt,2026-04-30,2025-08-18,0.0272936,2026-04,0.0
zkjusdt,2026-04-30,2025-05-13,0.015684,2026-04,0.0
irusdt,2026-04-30,2025-12-21,0.020645,2026-04,0.0
degenusdt,2026-04-29,2024-11-15,0.0006768,2026-03,0.0
vineusdt,2026-04-29,2025-01-24,0.01719,2026-03,0.0
b3usdt,2026-04-29,2025-02-13,0.0003138,2026-03,0.0
bobusdt,2026-04-29,2025-11-21,0.005299,2026-03,0.0
aiusdt,2026-04-29,2024-01-08,0.01788,2026-03,0.0
truusdt,2026-04-22,2023-03-07,0.004644,2026-03,0.0
degousdt,2026-04-22,2024-12-13,0.2896,2026-03,0.0
dentusdt,2026-04-22,2021-03-24,0.000176,2026-03,0.0
funusdt,2026-04-16,2025-03-31,0.001235,2026-03,0.0
fiousdt,2026-04-16,2024-09-20,0.00613,2026-03,0.0
oxtusdt,2026-04-16,2023-08-11,0.01482,2026-03,0.0
pufferusdt,2026-04-09,2025-06-04,0.02553,2026-03,0.0
olusdt,2026-04-09,2025-06-25,0.01086,2026-03,0.0
rlsusdt,2026-04-09,2025-12-02,0.003314,2026-03,0.0
hippousdt,2026-04-09,2024-11-13,0.0005468,2026-03,0.0
ethusdt_260327,2026-03-28,2025-09-26,1966.72,2026-02,0.0
btcusdt_260327,2026-03-28,2025-09-26,67110.5,2026-02,0.0
ntrnusdt,2026-03-25,2023-11-14,0.01202,2026-02,0.0
rdntusdt,2026-03-25,2023-04-05,0.005442,2026-02,0.0
